,cell_barcode,clone_id
M11-1,cell_1747,3
M11-1,cell_1748,3
M11-1,cell_1749,1
M11-1,cell_175,4
M11-1,cell_1750,4
M11-1,cell_1751,4
M11-1,cell_1752,8
M11-1,cell_1753,8
M11-1,cell_1754,1
M11-1,cell_1755,1
M11-1,cell_1756,3
M11-1,cell_1757,1
M11-1,cell_1758,4
M11-1,cell_1759,4
M11-1,cell_176,3
M11-1,cell_1760,3
M11-1,cell_1761,1
M11-1,cell_1762,4
M11-1,cell_1763,4
M11-1,cell_1764,3
M11-1,cell_1765,4
M11-1,cell_1766,3
M11-1,cell_1767,3
M11-1,cell_1768,1
M11-1,cell_1769,1
M11-1,cell_177,3
M11-1,cell_1770,3
M11-1,cell_1771,1
M11-1,cell_1772,4
M11-1,cell_1773,4
M11-1,cell_1774,4
M11-1,cell_1775,4
M11-1,cell_1776,1
M11-1,cell_1777,4
M11-1,cell_1778,3
M11-1,cell_1779,4
M11-1,cell_178,3
M11-1,cell_1780,3
M11-1,cell_1781,1
M11-1,cell_1782,4
M11-1,cell_1783,3
M11-1,cell_1784,4
M11-1,cell_1785,1
M11-1,cell_1786,3
M11-1,cell_1787,8
M11-1,cell_1788,3
M11-1,cell_1789,4
M11-1,cell_179,4
M11-1,cell_1790,1
M11-1,cell_1791,3
M11-1,cell_1792,3
M11-1,cell_1793,4
M11-1,cell_1794,3
M11-1,cell_1795,3
M11-1,cell_1796,4
M11-1,cell_1797,4
M11-1,cell_1798,4
M11-1,cell_1799,4
M11-1,cell_18,1
M11-1,cell_180,3
M11-1,cell_1800,3
M11-1,cell_1801,3
M11-1,cell_1802,1
M11-1,cell_1803,3
M11-1,cell_1804,3
M11-1,cell_1805,4
M11-1,cell_1806,1
M11-1,cell_1807,4
M11-1,cell_1808,3
M11-1,cell_1809,4
M11-1,cell_181,3
M11-1,cell_1810,3
M11-1,cell_1811,3
M11-1,cell_1812,1
M11-1,cell_1813,3
M11-1,cell_1814,3
M11-1,cell_1815,8
M11-1,cell_1816,4
M11-1,cell_1817,4
M11-1,cell_1818,4
M11-1,cell_1819,4
M11-1,cell_182,1
M11-1,cell_1820,4
M11-1,cell_1821,4
M11-1,cell_1822,4
M11-1,cell_1823,3
M11-1,cell_1824,4
M11-1,cell_1825,1
M11-1,cell_1826,3
M11-1,cell_1827,3
M11-1,cell_1828,3
M11-1,cell_1829,1
M11-1,cell_183,3
M11-1,cell_1830,4
M11-1,cell_1831,4
M11-1,cell_1832,3
M11-1,cell_1833,4
M11-1,cell_1834,4
M11-1,cell_1835,3
M11-1,cell_1836,1
M11-1,cell_1837,1
M11-1,cell_1838,1
M11-1,cell_1839,4
M11-1,cell_184,4
M11-1,cell_1840,3
M11-1,cell_1841,4
M11-1,cell_1842,1
M11-1,cell_1843,4
M11-1,cell_1844,1
M11-1,cell_1845,4
M11-1,cell_1846,1
M11-1,cell_1847,4
M11-1,cell_1848,4
M11-1,cell_1849,3
M11-1,cell_185,3
M11-1,cell_1850,1
M11-1,cell_1851,4
M11-1,cell_1852,4
M11-1,cell_1853,4
M11-1,cell_1854,4
M11-1,cell_1855,4
M11-1,cell_1856,1
M11-1,cell_1857,4
M11-1,cell_1858,3
M11-1,cell_1859,3
M11-1,cell_186,1
M11-1,cell_1860,3
M11-1,cell_1861,3
M11-1,cell_1862,3
M11-1,cell_1863,1
M11-1,cell_1864,4
M11-1,cell_1865,1
M11-1,cell_1866,4
M11-1,cell_1867,1
M11-1,cell_1868,4
M11-1,cell_1869,4
M11-1,cell_187,4
M11-1,cell_1870,4
M11-1,cell_1871,3
M11-1,cell_1872,4
M11-1,cell_1873,4
M11-1,cell_1874,4
M11-1,cell_1875,4
M11-1,cell_1876,3
M11-1,cell_1877,4
M11-1,cell_1878,4
M11-1,cell_1879,3
M11-1,cell_188,3
M11-1,cell_1880,3
M11-1,cell_1881,1
M11-1,cell_1882,1
M11-1,cell_1883,4
M11-1,cell_1884,1
M11-1,cell_1885,1
M11-1,cell_1886,1
M11-1,cell_1887,4
M11-1,cell_1888,1
M11-1,cell_1889,3
M11-1,cell_189,4
M11-1,cell_1890,4
M11-1,cell_1891,3
M11-1,cell_1892,1
M11-1,cell_1893,3
M11-1,cell_1894,4
M11-1,cell_1895,3
M11-1,cell_1896,4
M11-1,cell_1897,3
M11-1,cell_1898,3
M11-1,cell_1899,4
M11-1,cell_19,3
M11-1,cell_190,1
M11-1,cell_1900,3
M11-1,cell_1901,3
M11-1,cell_1902,1
M11-1,cell_1903,4
M11-1,cell_1904,4
M11-1,cell_1905,1
M11-1,cell_1906,1
M11-1,cell_1907,3
M11-1,cell_1908,4
M11-1,cell_1909,4
M11-1,cell_191,1
M11-1,cell_1910,1
M11-1,cell_1911,4
M11-1,cell_1912,4
M11-1,cell_1913,4
M11-1,cell_1914,3
M11-1,cell_1915,4
M11-1,cell_1916,3
M11-1,cell_1917,1
M11-1,cell_1918,4
M11-1,cell_1919,4
M11-1,cell_192,4
M11-1,cell_1920,3
M11-1,cell_1921,4
M11-1,cell_1922,3
M11-1,cell_1923,1
M11-1,cell_1924,3
M11-1,cell_1925,4
M11-1,cell_1926,1
M11-1,cell_1927,3
M11-1,cell_1928,4
M11-1,cell_1929,1
M11-1,cell_193,4
M11-1,cell_1930,1
M11-1,cell_1931,1
M11-1,cell_1932,4
