,cell_barcode,clone_id
TP6-1T,cell_1771,8
TP6-1T,cell_1772,1
TP6-1T,cell_1773,8
TP6-1T,cell_1774,1
TP6-1T,cell_1775,8
TP6-1T,cell_1776,1
TP6-1T,cell_1777,1
TP6-1T,cell_1778,1
TP6-1T,cell_1779,8
TP6-1T,cell_178,8
TP6-1T,cell_1780,1
TP6-1T,cell_1781,1
TP6-1T,cell_1782,8
TP6-1T,cell_1783,8
TP6-1T,cell_1784,6
TP6-1T,cell_1785,6
TP6-1T,cell_1786,1
TP6-1T,cell_1787,6
TP6-1T,cell_1788,1
TP6-1T,cell_1789,8
TP6-1T,cell_179,8
TP6-1T,cell_1790,8
TP6-1T,cell_1791,1
TP6-1T,cell_1792,1
TP6-1T,cell_1793,8
TP6-1T,cell_1794,8
TP6-1T,cell_1795,6
TP6-1T,cell_1796,6
TP6-1T,cell_1797,6
TP6-1T,cell_1798,1
TP6-1T,cell_1799,1
TP6-1T,cell_18,8
TP6-1T,cell_180,8
TP6-1T,cell_1800,8
TP6-1T,cell_1801,8
TP6-1T,cell_1802,1
TP6-1T,cell_1803,8
TP6-1T,cell_1804,8
TP6-1T,cell_1805,1
TP6-1T,cell_1806,6
TP6-1T,cell_1807,8
TP6-1T,cell_1808,1
TP6-1T,cell_1809,8
TP6-1T,cell_181,8
TP6-1T,cell_1810,6
TP6-1T,cell_1811,6
TP6-1T,cell_1812,1
TP6-1T,cell_1813,1
TP6-1T,cell_1814,8
TP6-1T,cell_1815,8
TP6-1T,cell_1816,1
TP6-1T,cell_1817,8
TP6-1T,cell_1818,1
TP6-1T,cell_1819,1
TP6-1T,cell_182,6
TP6-1T,cell_1820,1
TP6-1T,cell_1821,1
TP6-1T,cell_1822,6
TP6-1T,cell_1823,1
TP6-1T,cell_1824,1
TP6-1T,cell_1825,6
TP6-1T,cell_1826,8
TP6-1T,cell_1827,1
TP6-1T,cell_1828,1
TP6-1T,cell_1829,1
TP6-1T,cell_183,8
TP6-1T,cell_1830,8
TP6-1T,cell_1831,8
TP6-1T,cell_1832,8
TP6-1T,cell_1833,8
TP6-1T,cell_1834,8
TP6-1T,cell_1835,8
TP6-1T,cell_1836,1
TP6-1T,cell_1837,1
TP6-1T,cell_1838,8
TP6-1T,cell_1839,1
TP6-1T,cell_184,8
